subjnames,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,Sp1,Sp2,Fz,Cz,Pz,Oz,A1,A2,AF3,AF4,Fc3,Fc4,Cp3,Cp4,Po3,Po4,FT7,FT8,Cp7,Cp8,AF1,AF2,F1,F2,F5,F6,Fc1,Fc2,Fc5,Fc6,C1,C2,C5,C6,Cp1,Cp2,Cp5,Cp6,P1,P2,P5,P6,Po5,Po6,AFz,Fcz,Cpz,Poz,Fpz,AF5,AF6,AF7,AF8,AF9,AF0,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,T15,T16,T13,T14,T11,T12,T9,T10,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,T7,T8,P9,P10,P11,P12,P13,P14,P15,P16,P7,P8,Po1,Po2,Po7,Po8,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15
Subject01_timefreq_fft_251222_1455_specparam.mat,0.376150805593668,0.234128054934292,0.494706562945603,0.173594629862066,0.535559617844305,0.758737085869635,0.48370161855489,0.646365746686614,0.70080831793006,0.821789996368979,0.502742671806837,0.119551381379228,0.492394241933682,0.786990247331617,0.669918290734134,0.825807596962322,0.362341178387794,0.212564492435631,0.635187746112405,1.03793069211581,0.96606930417214,0.956487103417922,0.469346449805889,1.40138069246516,0.355091109957789,0.327588352520015,0.491843798101274,0.439431248214914,0.484880423773254,0.504736134488834,0.93518760697865,0.765916807271798,0.489576083735833,0.72030986012269,0.479891550830697,0.799954247576523,0.304602456923881,0.0681116036052982,0.412286028452442,0.687612800188126,0.496641669208504,0.326273350218569,0.415783545554642,0.976631098782931,0.486368806750687,0.776352801349912,0.936022924312235,0.928720958592808,0.481417546478122,0.643260878247079,0.692070957929507,0.791753622931586,0.465549719597651,0.65683859339276,0.427656932808427,0.916195332394247,0.736146416067696,0.506608118249247,0.735092324119254,0.766925567607174,0.261533077802142,0.921185904380661,0.949381402020173,1.06207980495128,0.226080975332627,0.195539416933854,0.297233950158026,0.205867805455754,0.269417884347614,0.0343552860243494,0.292524810117312,0.763843218544841,0.840222567154861,0.3559553455107,0.752983820948368,0.434035176331326,0.422164943611882,0.425076698872208,0.76006386295007,0.419348225747417,0.740249406389822,0.951639532544584,0.914961862061561,0.429552681149611,0.776453483034193,0.483425107118963,0.41792355189948,0.418782901414863,0.727275128866879,0.424579529697073,0.795784747493868,0.956118219652694,0.946424130792055,0.541243371573796,0.776721521315591,0.410224072419318,0.488269962309831,0.419648946357276,0.64868797628106,0.421273867276369,0.806699610526704,0.965366541147476,0.865213865453933,0.415398978111873,0.754705690095255,0.4128930060007,0.313921827068848,0.391179832708002,0.683342422381733,0.526858047843552,0.572877935885945,1.08087875482783,0.39416524821245,0.966223606609691,0.823495410379681,0.516274112536529,0.704342750400048,0.963050784326136,0.765924454918,0.568410467038755,0.822295244393698,0.963189435828315,0.229880799221277,0.616268549719048,0.827501201826588,0.96938777879359,0.837828213338365,0.836464161294101
Subject02_timefreq_fft_251222_1455_specparam.mat,0.662267604084452,1.04624085995231,0.0677855477553779,0.466364492126765,0.199064840529271,0.272015309385652,0.371240681954949,0.332265232999346,0.436531149745072,0.426695550248938,0.0145949608881746,1.06207368656303,0.650222332399658,0.412094555948322,0.317486928713561,0.405795045889745,0.446653306501552,1.05094746090911,0.496149428758721,0.257251561389484,0.443605557032669,0.601987254646991,0.790840920908207,0.594326461683726,0.652604022185323,1.05707515170045,0.197558563557303,0.46864881681056,0.293282049389575,0.121899022951107,0.36105410846146,0.383474944094771,0.624157367833718,0.137508502078689,0.51778189644816,0.499126572995056,0.675046816454787,1.04510889594789,0.440097639771004,0.461705132431673,0.452063096467301,0.344692064498884,0.207164067188038,0.349720868434656,0.121551788483583,0.301768416872486,0.254736292194625,0.264449006772383,0.318144490395406,0.122392170730757,0.198945877472925,0.322995660397665,0.360121805636263,0.144174658945486,0.465484252487513,0.360816337841002,0.164079976247548,0.144806029808687,0.498697773519959,0.385420065556699,0.0279029442529516,0.442997378519824,0.444307948262569,0.524701638169288,0.660465355799552,0.392839412474999,0.376507512245062,0.472861854260371,1.0605422497867,0.448362560098027,1.04860643491863,0.423715805676339,0.481011321390833,0.47742598852805,0.436345212380444,0.268214769814419,0.469044379875976,0.650183481682025,0.519073299212439,0.653020678073072,1.06127860240599,0.354069150229922,0.395779985301298,0.279676415133219,0.284828031075375,0.326722012792292,0.321275027206921,0.069199486291884,0.697366129674691,0.447663723994121,0.167431892176496,0.219630247075366,0.362275804819537,0.206667657570689,0.312804094936981,0.562257252984478,0.490432688104337,0.361727709898814,0.161900877565988,0.549435276214446,0.494165279301021,0.380865747491967,0.377329935561735,0.273356561784364,0.154015399846971,0.42422690452354,0.160253409029541,0.512273221056569,0.494251765729369,0.504384121574774,0.334116053861796,0.445669650383139,0.12459536189796,0.472167067715346,0.213694923478629,0.412634826818823,0.543832730619803,0.421289963555801,0.373482848695207,0.411742403473811,0.40684909283621,0.31135591089021,0.388457059898793,0.333208904221405,0.456213850007256,0.485321334187422,0.409247191564964,0.389366800633658
Subject03_timefreq_fft_251222_1455_specparam.mat,0.262935393139251,0.936620721666102,0.0779075904038863,0.763910056702211,0.613786880851516,0.617311722214319,0.452030675832052,0.676311994831457,0.656157641132627,0.612461585873788,0.373298659136279,0.963321472447029,0.317361462300029,0.501029467110686,0.338353940938031,0.571402235864377,0.468201495124695,0.940277572281478,0.685604486972556,0.632968570710673,0.599018066064008,0.914487484908504,0.960992957318206,0.629852400872135,0.315736367310557,0.951576940737472,0.615423259722927,0.766760918776255,0.570212182486346,0.529766144126094,0.545957045937776,0.58240102142033,0.297931541790711,0.0543159144726559,0.307056149521563,0.546613358927905,0.327604791204315,0.931510972512052,0.652609092412651,0.246766588322774,0.277975111080525,0.507713261866427,0.62975896145132,0.745884866719076,0.135005963817621,0.407040342633163,0.633503108155157,0.609236745511632,0.371239412889292,0.529787389382024,0.613514524029257,0.518650619011529,0.436484744778005,0.27364446223305,0.348480483295604,0.727762758861746,0.288487403705318,0.27327167125244,0.356074686985308,0.583981308172368,0.204051732304629,0.653861656587846,0.742750323784813,0.906806454685638,0.325308400431467,0.142699997780739,0.372207307719582,0.383806031882166,0.971714792103959,0.404461653087918,0.945613232027466,0.431067749227254,0.744306479500135,0.413385039195178,0.714923555555351,0.443125916682279,0.753984031099713,0.388383795614694,0.60788004027575,0.330034343792371,0.973439849972853,0.637663403838461,0.682663724727391,0.660789838644488,0.597434729846718,0.305476648946565,0.457469032614304,0.371088730535418,0.438260438469692,0.565545503588283,0.188211985229937,0.62504864013929,0.598202071746777,0.557960033961792,0.666798644272455,0.415730913887141,0.634329087159647,0.504360500406563,0.268728751152906,0.377358378131855,0.59446557183251,0.730118814593444,0.536178433635911,0.525739810231842,0.512119848097832,0.576018201220505,0.269458443848628,0.34843601993697,0.593033875326775,0.3448937602346,0.166156721542759,0.787846439306135,0.256084168285918,0.307804589154373,0.128714629744734,0.646140286840676,0.659306142411972,0.670990049963598,0.561274732552257,0.645977097198644,0.649933219145316,0.346601668264157,0.560174757209965,0.446700182404585,0.697167365330634,0.559266527328744,0.651387519550468,0.427027948434107
Subject04_timefreq_fft_251222_1456_specparam.mat,0.459029811465565,0.530714615249253,0.570828513291666,0.616332487574108,0.681709469264691,0.493803962776008,0.646454303706284,0.200277380422809,0.394512541993233,0.409775731341399,0.655898583720843,0.428295145127532,0.0783638644100068,0.505206985159129,0.331283528692655,0.270945605382338,0.326290494144208,0.718451573775775,0.45409283175019,0.271236426434181,0.640143249315174,0.488122344780062,0.430131161982399,0.401616055104052,0.604662857288674,0.473264265035386,0.196611235067683,0.378286585320647,0.758884888408395,0.25979334622236,0.730714337360344,0.454794915662433,0.581539050164146,0.482650472653575,0.379578476478084,0.591816215668411,0.607785077326665,0.555831590153367,0.70261336186882,0.280260269021323,0.427617111109119,0.513114619076449,0.698815773954372,0.347685372992359,0.37295177560194,0.381034403786922,0.628505059978449,0.351396651430897,0.721631559316769,0.471059526289956,0.404571998434226,0.509794749025735,0.495383035697292,0.197279227436116,0.30319154595214,0.637927217641369,0.537205068758191,0.316601495710083,0.387494175448721,0.234404193224291,0.190093543893103,0.580947738691501,0.548072921992445,0.425445887212514,0.720606880396567,0.509317968697159,0.513535617075875,0.539684548024985,0.42881288479286,0.54654686184363,0.583786003285218,0.5293507992135,0.532455154995325,0.751063365871379,0.44455804371101,0.620836613016168,0.349701872986209,0.35468291378758,0.501472647604207,0.459962732461648,0.296266346739555,0.69154936373092,0.654566426437557,0.666418762529848,0.479123052767002,0.470821679322081,0.70057398918588,0.591783625780577,0.386821005792289,0.317175125607739,0.0855046046388641,0.66643042492272,0.0299874538115702,0.436811294266349,0.421494300468248,0.374968876531314,0.341535910669981,0.355789373288324,0.101079204659501,0.413348745338048,0.419328166095925,0.55564362717958,0.547398494806772,0.33538177101563,0.298130300854323,0.345359309094435,0.510527112844305,0.34052828594072,0.211605862250396,0.328426583230071,0.0875414274400116,0.181179894078848,0.646862901786292,0.504967993310889,0.427292322438314,0.51315420727349,0.173485528955142,0.396117929632769,0.248549660901309,0.461231111180705,0.437333284195064,0.619952218913151,0.25913310492834,0.584956963537894,0.607506017224931,0.521641368445631,0.338240237621249,0.603699577207712
Subject05_timefreq_fft_251222_1456_specparam.mat,0.262623831646677,0.891935708295619,0.080169657328209,0.746682324482018,0.42349675302358,0.596982043959047,0.450143116722103,0.661129274851659,0.639849936220763,0.651338259473578,0.349801635593492,0.921769200167049,0.281898247148791,0.499802427607473,0.326018013546026,0.55860314957309,0.471848285094493,0.895566288257787,0.680354195837685,0.633631301010558,0.603738735943381,0.903217560153795,0.944931990069371,0.629481842793479,0.278261235777274,0.908690659023968,0.422997992633588,0.74969607743704,0.506691120984505,0.518512935124044,0.518732609758414,0.572624038054501,0.27510840634467,0.0444210947697094,0.282424361168652,0.54979955271108,0.316626187755386,0.887090515922213,0.651012659785486,0.247466560376689,0.259711582071292,0.496042862877245,0.630432970940955,0.740825119298358,0.123146339041626,0.372332147392453,0.634379100455114,0.452381956984837,0.349760327485759,0.518369575306858,0.423527212540808,0.623938076102996,0.431821600278935,0.268424493096992,0.357892691253007,0.716243460885322,0.281471705132435,0.267875452313712,0.329669468718564,0.574791574604028,0.166436897344163,0.652125083453738,0.729410660448453,0.88928649141658,0.288329785154918,0.119100908790642,0.353369959879396,0.3737575635796,0.797037831903133,0.400088940566157,0.883602611100919,0.41434018106205,0.739935043097554,0.609885075982077,0.708187136535151,0.438215845839756,0.742431019671628,0.357211098066673,0.600196204191304,0.294048920606963,0.798391807109096,0.594188187004396,0.677240651917857,0.658140309559969,0.583156372419973,0.310040271952109,0.452104973063164,0.359284465603851,0.444091081165979,0.550219223879032,0.182876252794336,0.626373205464946,0.594235398038954,0.501690679046942,0.657741820249376,0.382245649317773,0.625644127077616,0.492691677682662,0.262598721140332,0.35399638506049,0.591029355775793,0.739118524409938,0.630482442177124,0.507046435766294,0.502408267254365,0.560796277189537,0.259614941736044,0.328921995099887,0.589474206305251,0.323334574398073,0.159736024166592,0.77029841614315,0.248074461786994,0.304709539234267,0.137030523582902,0.619571738554438,0.677837138313461,0.588399183687414,0.549382734238452,0.627831941521101,0.634130843970332,0.332492794900736,0.592076665085923,0.437306631033743,0.686584135896164,0.552021815257861,0.636157099977562,0.417559208404628
Subject06_timefreq_fft_251222_1456_specparam.mat,0.669754750189759,0.659104636064992,0.874085773821616,0.765641259583418,0.881815566383196,0.891666652509491,0.959315876389912,0.82686800216763,0.859533295893487,0.807040843826926,0.88065775991118,0.900363731003015,0.919676034464842,0.840891599513218,0.858300946952666,0.788397495052341,0.806886282944807,0.73440183756146,0.953920215218148,0.942201609462533,0.856019716325115,1.08085800265229,0.464511626151527,1.04200512463631,0.73252173058022,0.744988375964732,0.832262659045308,0.801655225098712,0.909033812172501,0.85399961860051,0.858075220043825,0.791843923005562,0.766214867907626,0.840573158952157,0.510837536611903,0.865585393315152,0.843021333528418,1.03987303676762,0.912547402819867,0.809917431946255,0.54800772701343,0.654800141590628,0.911272842983369,0.954883320159677,0.860771992961921,0.736200966566827,0.791363816149906,0.776730086644942,0.883520495902333,0.789222415603487,0.804163995603446,0.859585845095624,0.909506696980408,0.791281467785105,0.940693836440207,0.848002507942704,0.865111348503682,0.781589969934327,0.857666531696143,0.858307533424085,0.807455408945116,0.940284644789022,0.800888816140439,0.855540976462062,1.26456876027116,0.764184775151815,0.711354063432045,0.625801650400449,0.962154130988031,0.93916018622821,1.00621850996408,0.988020313771297,0.995223186911518,0.924332598340476,0.992203261037118,0.71223783068861,0.758515671799334,0.862179162690144,0.641884442186029,0.818405151233199,0.647701639606776,0.936889864519316,0.809468363479418,0.907308236646402,0.900169286145505,0.694416118916684,0.72461861106602,0.749032815342088,0.643687639269901,0.905034684938017,0.725402462621268,0.819347535165918,0.796443355400539,0.779658825603505,0.797628271212074,0.964744853908546,0.705229297013943,0.902202815712009,0.612052742424532,0.907286987300878,0.874099674773411,0.76167800210333,0.878258908885692,0.954207601362663,0.869496861658432,0.857692781679202,0.723610469790938,0.855524131357085,0.888198041287222,0.475300422481386,0.828824767384378,0.857128439782377,0.871932210633968,0.859111367925257,0.748237724469919,0.854095845792885,0.834112913840262,0.856010007551955,0.872640064844107,0.853328229911039,0.873707600442779,0.700689910964237,0.869833755702938,0.682633611735579,0.829670103220362,0.879460050788553,1.05057042023263,0.963579459602989
Subject07_timefreq_fft_251222_1456_specparam.mat,0.559103149326827,0.464804864237693,0.502565833842487,0.647118700738218,0.505216547102046,0.176846271280028,0.776380145986092,0.722708353772386,0.571201891496882,0.460137404714669,0.509077595685232,0.540772118708266,0.451517183596141,0.637954057760998,0.258029263933444,0.681304888235518,0.599206476991412,0.719424339214861,0.972509017274231,0.532798318902331,0.824014489860348,0.664956007631259,0.497825005550243,0.844212978933492,0.44491371048165,0.733445095277782,0.62365073005544,0.436668191683219,0.422252192080301,0.374007461958199,0.641198057780377,0.64986757835987,0.393207425264072,0.545658764040668,0.611260134331292,0.413434632308569,0.439687186424091,0.814408835592731,0.0747821791731159,0.726170735831502,0.347029470668114,0.519897230514521,0.770002214242748,0.933988448881985,0.41843692257841,0.516103375312357,0.532383285125176,0.503037141402342,0.440020431876419,0.329545288772201,0.513562586437182,0.646419421962473,0.799642799106887,0.39559986283623,0.436648527564769,0.916505022349125,0.465488976656622,0.603610474673851,0.588919797162143,0.594909515505494,0.409867908809954,1.07778293263877,0.553155696050621,1.07050775065787,0.900494979608518,0.123631974270774,0.562581683419957,0.608290003193865,0.127751407538185,0.341495163478488,0.521558279029334,0.976069409544768,1.09143612809831,0.858048785158039,0.866300536063212,0.598435759515477,0.609290475896354,0.403373851633832,0.5023871819165,0.291863834335988,0.521286313591888,0.800462650542511,0.297175298518858,0.414402139235498,0.601428439402488,0.518306073880952,0.341300847403677,0.410805416407488,0.449692798612835,0.445629528414832,0.343590848853515,0.476041414040593,0.523988227971712,0.430601610497562,0.230539735116317,0.548646947636933,0.19968076909598,0.821436433095672,0.242345100487174,0.44861244367099,0.637411027421903,0.485296706749305,0.859186746689393,0.361205936977081,0.614865404423367,0.671809018463119,0.224388282565575,0.733761740161401,0.405875763652307,0.502511419506827,0.808729426281739,0.677888225955244,0.722408557257024,0.439441329279195,0.439124199361844,0.519013295578559,0.26523715020457,0.492029806655598,0.489595265858263,0.464515068385701,0.503783969562827,0.566783108788595,0.65654034041079,0.530833424226092,0.597794929517529,0.106695356754627,0.770908327437073,0.668878738116484
Subject08_timefreq_fft_251222_1456_specparam.mat,0.757132397281481,0.352741289665228,0.907160743055153,0.956389133853516,0.882899797874728,1.05742641185104,0.878105856311183,0.607243877323017,1.07553813975615,0.779958553738735,0.901792317057292,0.710775112765534,0.817567312335351,0.696826379055835,1.20371913383949,0.669953429003183,0.785570562928835,0.809139061557043,0.987883767383108,0.811579850815586,0.74612889018185,0.539983108630695,0.750964926488745,1.06846533942534,0.794898033977864,0.820277350224361,0.942871826782639,1.05203419598127,0.883887054391287,0.739807587037795,1.22538855728955,0.924451428178954,0.745689278704896,0.702832589561032,0.795696700859078,0.535318724656076,0.780044794750622,0.559404765491665,0.980621304054465,0.948150461230579,0.780307623894952,0.757039578586226,0.545749983843962,0.606688479531946,0.736063744000393,0.904016760484361,0.835397373101914,0.77559707329384,0.886207421968259,1.05577862787497,0.81444723225047,0.756105127011093,0.885820929814188,0.473651986313941,1.04487181893988,0.456594956695798,0.871079435578371,0.867438596931736,1.224847637356,0.761877300074721,0.779663155699047,1.08763874818031,0.902910136590259,0.92366979052154,0.799881264710082,0.619741268459885,0.795786247965626,0.784269538804395,0.607358518247333,0.782209736864712,0.796092429960957,1.02528686437129,0.942312169470555,0.881245227594716,0.942451714859947,0.865790269175021,0.946260937025046,0.870899730988949,0.828243158862301,0.765020041773006,0.678818334647759,0.871807660530189,0.72560274917727,0.396167537816352,1.0459999587068,0.524886766314031,0.614723031628928,0.726889042882477,0.373536097864504,0.76778083971475,0.728186357090123,0.781523521433007,0.739403898890664,0.742049380211575,0.732948781366964,0.924605377805639,1.06702273333363,0.923587978522976,0.517787279125369,0.663458905607075,0.760515530649778,0.842638845908337,0.769097520452947,0.6949497804751,0.701561025276888,0.924005033334098,0.691905277000274,0.750792514794338,0.772280890891079,0.854011102826785,0.822090719613078,1.01894557619721,0.886252351299487,0.856949484213709,0.735039083966613,1.02452524947289,0.745797345486592,1.27228444097295,0.741264641500874,1.02789893991701,0.72752523719194,1.06893673120162,0.650525841283855,0.70420058936844,0.91318914043327,0.699453367050719,0.509986212532117,0.687324768962867
Subject09_timefreq_fft_251222_1456_specparam.mat,1.18134877995726,1.11381753999275,1.19030361681269,0.634916844062116,0.381578425635293,1.09605411770161,1.29336927281281,1.14713484616046,1.1785823316582,1.14353900829111,1.04763439663545,1.08287993640882,1.03264931927295,1.23195011210578,0.60483729149335,1.17080512582765,1.26153722792191,0.522442650008477,1.45755954455441,1.09593190995833,1.29955238133481,1.02966750859405,1.21350229902418,1.21224789186989,1.01350011270646,0.5469157060259,0.981620964590827,0.983157679202822,0.97854065176893,1.01985914875178,1.00450134031695,1.1885016881522,1.17634525246916,1.22472674761431,0.562268070956013,0.82147060533706,0.74931325847669,1.12516239977414,1.1685917401785,1.09157424465707,1.14236474451133,0.620090405282922,1.19312512390292,1.07605194172295,0.931186385555601,0.903732841071972,0.961537682021576,1.10096396565582,1.31491247144636,0.975155404198584,0.42881920393113,1.21649171580329,1.06147991715031,1.08217312752299,0.988835760178045,1.14859532608202,1.05459824894389,0.745234316442805,1.02510419200647,1.10204407483131,0.801173389629546,1.16538904202799,1.21979292056775,1.40060228702544,0.670706538852087,0.612862897990883,0.587344341826535,0.55011058937372,0.590797772353715,1.15724025494617,1.09255629605726,1.15154908896161,1.04800725111302,1.14472079998751,1.09668961914319,1.02599273332746,0.550274930035693,1.14870597963319,0.857712020371312,1.05344106953303,1.35630571506498,1.11787454054429,1.06836389964845,0.459469566441029,1.21240704849622,0.989185636498193,0.936518872311712,0.37693341147297,1.10376593588239,1.06100299886668,0.940014371100646,1.25201442278038,1.07917408184006,1.23561428756063,1.10492372046632,1.14656283342221,0.975700724297481,0.946788057856912,0.828801427500072,0.826039856611674,1.16850659859227,1.26564336416623,1.14663316932215,0.987808328633538,0.632972003173885,1.03612013260582,1.05059990149167,0.800746883815032,1.16958101128017,0.476513082791191,1.17701096341572,1.23447557722746,1.2413736830807,1.02568581987322,1.18598714135322,0.948564131042193,0.64750854546749,1.00702375881222,1.09624836699373,1.06705128009201,1.2359818092954,1.09853605949081,1.18873888361451,1.0296822853331,1.22190333291268,0.608065756146646,1.08529333905999,0.62638267271883
Subject10_timefreq_fft_251222_1456_specparam.mat,0.471266416580992,0.991843307915094,0.813076472093232,0.792155231240887,0.81115432724561,0.796493689324045,0.288335951856212,0.661249413014189,0.668345622187797,0.485303960101751,0.500378929606078,0.871166062685536,0.393515933319249,0.564932450874327,0.653032731183735,0.724453361638149,0.475345643607575,1.07449044707285,0.777034598367857,0.95924552133877,0.42561666950807,0.426608609980725,0.597977090736742,0.795406104300266,0.523003993559964,0.702138564568584,0.808864704101253,0.79519200653432,0.79239151910719,0.841142894079628,0.34531234951922,0.482580093584205,0.543087695615622,0.822516497733966,0.650886054527632,0.608400854166305,0.474057040043574,0.539251419903139,0.841354562524236,0.788628820213745,0.81189277690866,0.937909006461438,0.813161050607905,0.468061113502794,0.574373459799841,0.869764760964896,0.751796211935498,0.950139192777387,0.502120228952351,0.827843659768823,0.960556359451644,0.869085631698941,0.68962822474136,0.553261593194388,0.956867505083415,0.91234533698986,0.463565349500048,0.647397632065027,0.650122254165395,0.650308871941771,1.22905956529375,0.427120999704818,0.956015144616202,0.410852376551765,1.27827224719428,0.53080809221948,0.584609347240256,0.459988399871529,1.06995713102165,0.46534184498681,0.980915279728337,0.808807061930299,0.763473796238691,0.807908863811953,0.767385575715504,0.8082452088741,0.760417675566478,0.639988226907375,0.995551378642556,0.473657903334521,0.859966743978766,0.961988793143511,0.933038121919197,0.698283445350989,0.772554762709927,0.547421241859357,0.919233191047542,0.49913517900072,0.554078694142093,0.563977903539679,0.365694949443034,0.950736503497752,0.938884155674412,0.962172347454233,0.270770232201144,0.708454970343167,0.805087221385166,0.687407529986505,0.380433032597313,0.600348112398682,0.482920650051154,0.948560448743687,0.915675791450736,0.682463665754856,0.85297406450099,0.617814466645656,0.299644478080031,0.62037420614693,0.267523306056892,0.44208691688341,0.523688139421787,0.653669116982919,0.643643057910097,0.572691108875068,0.637999669233276,0.513864042679219,0.64112697769111,0.635604753021151,0.636934558197062,0.641200795732556,0.644052304980601,0.639517925322435,0.497644310115515,0.640183652429206,0.414062208267393,0.640382323125209,0.593868492578582,0.537250318470226
